Date_quarter,Date,log_inv_pc,log_gdp_pc,log_gdp,log_gdp_yoy_pct,log_gdp_annualized_pct,gdp_yoy_pct,gdp_annualized_pct,log_private_pc,log_sp500_real,log_oil_real,infl_annualized_pct,infl_yoy_pct,log_payems,vix,gs2,t10Y2Y,t10Y3M,nfci,epu,cpi,sp500,gdp,pop16,inv,hours,priv_emp,wti,unrate,payems,logdiff_GPRD,diff_GPRD,GPRD,log_GPRD,GPRD_ACT,log_GPRD_ACT,logdiff_GPRD_ACT,diff_GPRD_ACT,GPRD_THREAT,log_GPRD_THREAT,logdiff_GPRD_THREAT,diff_GPRD_THREAT
1986,1986-01-01,-498.953181441569,-302.303208544227,907.670920294559,4.06246038309934,3.71766062144516,4.06246038309934,3.71766062144516,-78.4112956486571,69.5211058531202,-186.322181353569,2.07412390916808,3.05815337541135,1150.12340526473,20.77,7.77333333333333,0.789333333333333,1.448,-0.301359230769231,127.806687246259,109.566666666667,219.586064823338,8749.127,179825.333333333,1224.404,73.483,82094.6666666667,17.0016666666667,7.03333333333333,98837.6666666667,9.98967895035232,1067.82874396135,112.321222222222,472.13628218264,134.573666666667,490.211175666371,21.9904042931659,2656.54057971015,103.558444444444,464.013613395597,12.705501677702,1235.60531400966
1986.25,1986-04-01,-500.989503554851,-302.128996790713,908.120205849066,3.63512593012079,1.79714221803025,3.63512593012079,1.79714221803025,-78.3191764392913,79.1205469212159,-205.832699096996,-1.95181845033403,1.66465002993572,1150.46378843148,20.17,6.98333333333333,0.62015625,1.27703125,-0.458249230769231,116.638604368521,109.033333333333,240.5334379673,8788.524,180320.666666667,1203.028,73.284,82396.6666666667,13.92,7.16666666666667,99174.6666666667,7.56593689436151,882.78986568987,121.149120879121,479.702219077002,125.831098901099,483.494052278595,-6.71712338777635,-874.256776556787,126.047912087912,483.666208933896,19.6525955382998,2248.94676434677
1986.5,1986-07-01,-504.00150280463,-301.462071092704,909.072326794417,3.0715208380883,3.80848378140115,3.0715208380883,3.80848378140115,-78.0733998442759,78.760692373415,-206.874237351943,2.43828856198256,1.65444950170963,1150.95698411569,20.33,6.45,0.85578125,1.62140625,-0.552443076923077,125.005958243209,109.7,241.13484287262,8872.601,180835.666666667,1170.667,73.655,82835.3333333333,13.86,6.96666666666667,99665,-13.4017973812007,-1519.52078356426,105.953913043478,466.300421695801,104.399347826087,464.822342855246,-18.6717094233487,-2143.17510750119,104.178152173913,464.610243529963,-19.0559654039335,-2186.9759913999
1986.75,1986-10-01,-503.995104653051,-301.219583007782,909.607286211128,2.86578107193076,2.13983766684649,2.86578107193076,2.13983766684649,-77.789281000878,79.0484617970872,-197.175422396194,2.78577961726718,1.33659340952095,1151.60472537797,20.3,6.27666666666667,0.988225806451613,1.76193548387097,-0.554818461538462,92.7096937526504,110.466666666667,243.519844055176,8920.193,181365.333333333,1174.171,74.209,83314.3333333333,15.3783333333333,6.83333333333333,100312.666666667,-6.66236335549435,-682.902173913048,99.1248913043478,459.638058340306,82.3729347826087,441.125692158407,-23.69665069684,-2202.64130434782,109.120217391304,469.245018631553,4.63477510159027,494.206521739135
1987,1987-01-01,-501.682266629502,-300.83053619346,910.346393010482,2.67547271592363,2.95642719741664,2.67547271592363,2.95642719741664,-77.4722185916291,91.6166660334115,-181.369782817021,4.79909775865828,2.0178368718935,1152.20867056958,22.02,6.35,0.844262295081967,1.49573770491803,-0.437571538461538,95.4863261576002,111.8,279.465324155746,8986.367,182001.333333333,1205.858,75.133,83872,18.229,6.6,100920.333333333,-2.9089965860555,-284.200241545898,96.2828888888888,456.729061754251,87.5095555555556,447.17479937502,6.04910721661316,513.662077294688,102.598222222222,463.082060531776,-6.16295809977707,-652.199516908216
1987.25,1987-04-01,-501.918427886676,-300.046356242627,911.418799762557,3.29859391349068,4.28962700829842,3.29859391349068,4.28962700829842,-76.9032938958428,95.3792934024889,-176.456194317219,4.50642181145575,3.63239693734094,1152.98710736964,24.64,7.45,0.892698412698413,2.50365079365079,0.398757692307692,91.2300862401005,113.066666666667,293.468570769779,9083.256,182526.666666667,1206.486,75.564,84594,19.364,6.26666666666667,101709,9.61681736594171,971.919902319912,106.002087912088,466.345879120193,96.6974725274725,457.158726486299,9.98392711127885,918.791697191692,108.259120879121,468.452762087697,5.37070155592128,566.089865689867
1987.5,1987-07-01,-502.171571095471,-299.450646573697,912.282239395865,3.20991260144794,3.4537585332302,3.20991260144794,3.4537585332302,-76.3606259819718,102.735736539143,-172.37355617843,4.22291312235075,4.07855307743299,1153.70130164993,20.51,7.84333333333333,1.0296875,2.63078125,0.157499230769231,64.6830529123484,114.266666666667,319.223748683929,9162.024,183016,1206.662,76.09,85282.3333333333,20.385,6,102438,4.23404084346499,458.454252269468,110.586630434783,470.579919963658,95.8465217391305,456.274818024824,-0.883908461474992,-85.0950788342033,126.752934782609,484.223979630666,15.7712175429689,1849.38139034878
1987.75,1987-10-01,-495.826041474213,-297.994386250077,913.98462312912,4.37733691799203,6.80953493302283,4.37733691799203,6.80953493302283,-75.6695762447025,79.6179009623055,-182.092638295002,3.71663533363993,4.31126700652618,1154.6266748614,49.81,7.98333333333333,1.13903225806452,3.05822580645161,0.979137692307692,167.47859040964,115.333333333333,255.700156927109,9319.332,183467,1288.881,76.876,86085.3333333333,18.6696666666667,5.83333333333333,103390.333333333,-5.91428918834707,-635.076086956526,104.235869565217,464.665630775311,86.9926086956522,446.582315752425,-9.69250227239851,-885.391304347827,116.494891304348,475.784742057943,-8.43923757272362,-1025.80434782609
1988,1988-01-01,-501.017951994076,-297.751174042586,914.500174417196,4.15378140671319,2.06220515230129,4.15378140671319,2.06220515230129,-75.1708574677395,79.920699264734,-193.935297343425,3.10927144955251,3.88881042924973,1155.36066495772,33.79,7.36,1.05935483870968,2.50854838709677,0.302253846153846,109.086458539827,116.233333333333,258.476985144237,9367.502,183967.333333333,1227.008,76.947,86751.6666666667,16.714,5.7,104152,-8.49409289136425,-848.828714763489,95.7475824175825,456.171537883946,88.020989010989,447.757529752738,1.17521400031251,102.838031533682,97.1906593406594,457.667460953043,-18.1172811048995,-1930.42319636885
1988.25,1988-04-01,-498.892394351505,-296.674826132013,915.805648184748,4.38684842219104,5.22189507020983,4.38684842219104,5.22189507020983,-74.5136422717068,80.6169751008323,-191.739791650204,4.56235342416029,3.90279333242587,1156.17791191876,26.13,7.87333333333333,1.03555555555556,2.5031746031746,0.237599230769231,95.0900634554244,117.566666666667,263.268730526879,9490.594,184389.333333333,1256.243,78.029,87524,17.281,5.46666666666667,105006.666666667,8.27072188696647,825.571428571423,104.003296703297,464.442259770913,104.242197802198,464.671701665225,16.9141719124871,1622.12087912088,99.9828571428571,460.499874272111,2.8324133190675,279.219780219776
