Date,Date_quarter,log_GPRD,logdiff_GPRD,diff_GPRD,GPRD,GPRD_ACT,log_GPRD_ACT,logdiff_GPRD_ACT,diff_GPRD_ACT,GPRD_THREAT,log_GPRD_THREAT,logdiff_GPRD_THREAT,diff_GPRD_THREAT
1990-01-01,1990,436.110229516038,,,78.3434444444445,70.9834444444445,426.244667301256,,,77.6482222222222,435.218865457694,,
1990-04-01,1990.25,444.502078049845,839.184853380709,685.820390720387,85.2016483516483,69.5865934065934,424.257192531761,-198.747476949535,-139.685103785105,92.2897802197802,452.493341186583,1727.44757288895,1464.1557997558
1990-07-01,1990.5,517.412114727697,7291.00366778515,9143.96559961778,176.641304347826,107.521847826087,467.769406250967,4351.22137192064,3793.52544194935,234.382934782609,545.695625122407,9320.22839358237,14209.3154562828
1990-10-01,1990.75,502.599784295436,-1481.23304322606,-2431.91304347827,152.322173913043,108.545217391304,468.716683631456,94.7277380489083,102.336956521741,189.914782608696,524.657545896282,-2103.8079226125,-4446.8152173913
1991-01-01,1991,560.07546271578,5747.56784203434,11830.8381642512,270.630555555555,347.779,585.15672205688,11644.0038425424,23923.3782608696,238.731,547.533739504226,2287.61936079439,4881.62173913043
1991-04-01,1991.25,451.258003979972,-10881.7458735808,-17947.3852258852,91.1567032967034,80.1686813186813,438.413293135629,-14674.3428921251,-26761.0318681319,97.302967032967,457.782948238549,-8975.07912656773,-14142.8032967033
1991-07-01,1991.5,472.604409215291,2134.64052353185,2169.15575728619,112.848260869565,81.7957608695652,440.422541915539,200.924877990934,162.707955088392,140.502717391304,494.522682945015,3673.97347064659,4319.97503583374
1991-10-01,1991.75,461.066700726854,-1153.77084884367,-1229.70652173914,100.551195652174,70.5604347826087,425.64695735646,-1477.55845590792,-1123.53260869565,125.295543478261,483.067529445595,-1145.51534994197,-1520.71739130435
1992-01-01,1992,450.324941307195,-1074.17594196584,-1024.1085762064,90.3101098901099,62.2634065934066,413.137387911904,-1250.95694445558,-829.702818920207,108.557142857143,468.727669662043,-1433.98597835522,-1673.8400621118
1992-04-01,1992.25,445.005622183861,-531.931912333448,-467.835164835169,85.6317582417582,61.3121978021978,411.597880850117,-153.950706178699,-95.1208791208785,101.377912087912,461.885523792102,-684.214586994062,-717.923076923079
1992-07-01,1992.5,435.161364978741,-984.42572051199,-802.817128523648,77.6035869565218,56.9551086956522,404.226339079799,-737.154177031778,-435.708910654565,91.1670652173913,451.269370485594,-1061.61533065081,-1021.08468705208
1992-10-01,1992.75,440.199175942307,503.781096356619,400.967391304349,81.6132608695653,63.5557608695652,415.191764450355,1096.54253705558,660.065217391303,93.7995652173913,454.116022079239,284.665159364499,263.250000000002
1993-01-01,1993,464.690909334859,2449.17333925521,2264.8961352657,104.262222222222,87.269,446.899530241815,3170.77657914604,2371.32391304348,116.172444444444,475.507567726358,2139.15456471196,2237.28792270531
1993-04-01,1993.25,469.80508434651,511.417501165033,547.085470085469,109.733076923077,76.0948351648352,433.198039350839,-1370.14908909762,-1117.41648351649,134.876043956044,490.435616372291,1492.8048645932,1870.35995115995
1993-07-01,1993.5,463.669307756025,-613.57765904848,-653.057692307692,103.2025,92.7214130434783,452.959943881483,1976.19045306444,1662.65778786431,108.35902173913,468.544998929806,-2189.06174424849,-2651.70222169135
1993-10-01,1993.75,450.512763048473,-1315.65447075521,-1272.26086956522,90.4798913043478,57.5669565217392,405.294873159181,-4766.50707223025,-3515.44565217391,111.011195652174,470.963105795743,241.810686593732,265.217391304346
1994-01-01,1994,458.959507679829,844.674463135578,797.466425120776,98.4545555555556,74.6343333333333,431.26006336856,2596.51902093794,1706.73768115942,113.027111111111,472.762771127309,179.966533156573,201.591545893727
1994-04-01,1994.25,467.324674034881,836.516635505228,859.016971916974,107.044725274725,75.6534065934066,432.616247019746,135.618365118518,101.907326007324,128.516153846154,485.605460729934,1284.26896026251,1548.90427350427
1994-07-01,1994.5,460.61414532857,-671.052870631098,-694.755136168185,100.097173913043,66.9507608695652,420.395743681592,-1222.05033381533,-870.264572384137,123.488152173913,481.614521765162,-399.093896477166,-502.800167224085
1994-10-01,1994.75,455.851144437509,-476.30008910611,-465.586956521737,95.4413043478261,75.5731521739131,432.510109013721,1211.43653321288,862.239130434789,111.904456521739,471.764544045639,-984.997771952339,-1158.36956521739
1995-01-01,1995,439.131943366878,-1671.9201070631,-1469.44154589372,80.7468888888889,76.8913333333333,434.239316968361,172.920795464029,131.818115942025,79.694,437.819430065366,-3394.51139802729,-3221.04565217391
1995-04-01,1995.25,457.851476923645,1871.95335567674,1662.27814407814,97.3696703296703,87.8347252747253,447.545692671782,1330.63757034203,1094.3391941392,104.392747252747,464.816020227621,2699.65901622551,2469.87472527473
1995-07-01,1995.5,457.473675136714,-37.780178693157,-36.717032967033,97.0025,92.0628260869566,452.247123623376,470.143095159398,422.810081223125,103.595326086957,464.04922138169,-76.6798845930452,-79.742116579078
1995-10-01,1995.75,424.759110673411,-3271.45644633031,-2706.57608695652,69.9367391304348,64.7078260869565,416.988215380476,-3525.89082428995,-2735.5,70.7816304347826,425.959950989901,-3808.92703917894,-3281.36956521739
1996-01-01,1996,451.929023662483,2716.99129890724,2183.37004300048,91.7704395604395,90.3615384615385,450.38187173683,3339.36563563543,2565.3712374582,91.0919780219781,451.18697435498,2522.70233650792,2031.03475871954
1996-04-01,1996.25,444.161904974003,-776.71186884798,-685.813186813185,84.9123076923077,88.0565934065933,447.797971466669,-258.390027016117,-230.494505494514,78.9871428571429,436.928509057826,-1425.84652971539,-1210.48351648352
1996-07-01,1996.5,455.218323849985,1105.64188759816,992.693143812708,94.8392391304348,98.5053260869566,459.011061866501,1121.30903998314,1044.87326803632,93.435652173913,453.727298732431,1679.87896746049,1444.85093167702
1996-10-01,1996.75,421.833214235005,-3338.51096149801,-2691.91304347826,67.9201086956522,60.9141304347826,410.946517464551,-4806.45444019498,-3759.11956521739,69.9946739130435,424.841915219808,-2888.53835126234,-2344.09782608696
1997-01-01,1997,398.684389799688,-2314.88244353165,-1403.55531400966,53.8845555555556,52.8697777777778,396.783186705672,-1416.3330758879,-804.435265700484,54.1885555555556,399.246973403833,-2559.49418159743,-1580.61183574879
1997-04-01,1997.25,394.914091752819,-377.029804686958,-199.378632478633,51.8907692307692,50.0234065934066,391.249102775674,-553.408392999774,-284.637118437117,50.798021978022,392.785741638584,-646.123176524924,-339.05335775336
1997-07-01,1997.5,383.293274258572,-1162.08174942465,-569.294314381268,46.1978260869565,44.6216304347826,379.821872878464,-1142.722989721,-540.1776158624,44.7285869565217,380.061282643653,-1272.44589949315,-606.943502150022
1997-10-01,1997.75,393.460947801399,1016.76735428264,494.434782608695,51.1421739130435,34.9332608695652,355.343940887217,-2447.79319912467,-968.83695652174,61.4055434782609,411.750011573991,3168.87289303384,1667.69565217391
1998-01-01,1998,413.002446995648,1954.14991942493,1103.7270531401,62.1794444444445,44.9521111111111,380.55977255792,2521.58316707029,1001.88502415459,74.3823333333333,430.921845844496,1917.18342705054,1297.67898550725
1998-04-01,1998.25,429.710298695003,1670.78516993548,1130.7148962149,73.4865934065934,43.7425274725275,377.832079758759,-272.769279916099,-120.958363858363,93.4842857142858,453.779335494287,2285.74896497908,1910.19523809524
1998-07-01,1998.5,426.039005593115,-367.129310188716,-264.898471094121,70.8376086956522,72.1998913043478,427.94385404177,5011.17742830108,2845.73638318203,71.5721739130435,427.070636593003,-2670.86989012846,-2191.21118012422
1998-10-01,1998.75,418.778870694023,-726.013489909201,-496.065217391305,65.8769565217392,51.4868478260869,394.132639303642,-3381.12147381279,-2071.30434782609,76.6863043478261,433.972313112319,690.167651931682,511.413043478258
1999-01-01,1999,423.342994728155,456.412403413145,307.63768115942,68.9533333333334,58.5333333333334,406.959639253291,1282.69999496487,704.648550724642,75.7688888888889,432.768777157403,-120.353595491616,-91.7415458937199
1999-04-01,1999.25,449.863315433083,2652.03207049285,2094.08424908425,89.8941758241759,89.8504395604395,449.814650537608,4285.50112843175,3131.71062271062,91.3016483516484,451.416884167287,1864.81070098836,1553.27594627595
1999-07-01,1999.5,417.903697834459,-3195.96175986248,-2459.12410415671,65.3029347826087,58.7332608695652,407.300619105736,-4251.40314318722,-3111.71786908743,69.2008695652174,423.701342851602,-2771.55413156846,-2210.0778786431
1999-10-01,1999.75,429.536845617189,1163.31477827302,805.630434782607,73.3592391304348,68.8754347826087,423.229958008631,1592.93389028951,1014.21739130435,78.7207608695652,436.590691821514,1288.93489699115,951.989130434779
2000-01-01,2000,409.500551590526,-2003.62940266631,-1331.95688007644,60.0396703296704,58.9474725274726,407.664675121219,-1556.52828874119,-992.796225513615,59.6289010989011,408.814037430348,-2777.66543911662,-1909.18597706641
2000-04-01,2000.25,416.904249636844,740.369804631843,461.384615384617,64.6535164835165,59.0960439560439,407.916398403359,25.1723282139778,14.8571428571366,68.7630769230769,423.06669282493,1425.26553945826,913.417582417585
2000-07-01,2000.5,392.08340737067,-2482.08422661743,-1421.10164835165,50.4425,39.814347826087,368.422734546944,-3949.36638564154,-1928.1696129957,56.8072826086957,403.96645324501,-1910.02395799204,-1195.57943143813
2000-10-01,2000.75,401.713675151043,963.02677803734,509.934782608696,55.541847826087,55.5025,401.642806478294,3322.00719313498,1568.8152173913,57.2771739130435,404.790218332495,82.3765087485299,46.989130434779
2001-01-01,2001,400.905090103282,-80.858504776154,-44.7292270531406,55.0945555555556,47.606,386.295880371386,-1534.69261069079,-789.649999999996,61.5873333333333,412.045622168957,725.540383646211,431.015942028989
2001-04-01,2001.25,409.390124052633,848.503394935176,487.885103785099,59.9734065934066,55.4431868131868,401.535883542995,1524.00031716093,783.718681318679,63.37,414.899056333543,285.343416458545,178.266666666665
2001-07-01,2001.5,522.874819088216,11348.4695035583,12658.5714285714,186.559120879121,99.1810389610389,459.694685651569,5815.88021085739,4373.78521478521,121.685326086957,480.143841825343,6524.47854918004,5831.53260869566
2001-10-01,2001.75,584.161880872358,6128.70617841416,15777.7183468705,344.336304347826,512.173373493976,623.866318782608,16417.1633131039,41299.2334532937,173.915543478261,515.856979906956,3571.31380816128,5223.02173913043
2002-01-01,2002,504.297913934983,-7986.39669373746,-18940.5415458937,154.930888888889,229.440222222222,543.564252595255,-8030.2066187353,-28273.3151271753,98.4473333333334,458.952171821076,-5690.48080858804,-7546.82101449275
2002-04-01,2002.25,503.53879424079,-75.9119694193259,-117.165811965819,153.759230769231,203.378461538462,531.50685858662,-1205.7394008635,-2606.17606837607,121.971758241758,480.37895281137,2142.67809902943,2352.44249084249
2002-07-01,2002.5,493.113241653363,-1042.55525874266,-1522.29264214046,138.536304347826,168.022391304348,512.409725209556,-1909.71333770643,-3535.60702341138,120.109456521739,478.840346471842,-153.860633952752,-186.230172001912
2002-10-01,2002.75,511.54763270202,1843.43910486568,2804.38043478261,166.580108695652,181.928260869565,520.361243832462,795.151862290663,1390.58695652174,165.733152173913,511.037897789009,3219.75513171669,4562.3695652174
2003-01-01,2003,557.776857484946,4622.92247829261,9790.06690821256,264.480777777778,268.732444444444,559.371625431082,3901.03815986192,8680.41835748792,296.280333333333,569.130607820634,5809.27100316243,13054.718115942
2003-04-01,2003.25,522.465130857018,-3531.17266279282,-7868.44041514041,185.796373626374,228.592967032967,543.194298550235,-1617.73268808466,-4013.94774114773,162.883956043956,509.303802115633,-5982.68057050007,-13339.6377289377
2003-07-01,2003.5,486.866341160127,-3559.87896968912,-5564.95258002867,130.146847826087,164.128043478261,510.064687611142,-3312.96109390934,-6446.49235547061,104.540543478261,464.957497203021,-4434.63049126115,-5834.34125656952
2003-10-01,2003.75,477.868130548156,-899.821061197093,-1119.94565217392,118.947391304348,149.493152173913,500.72505869249,-933.962891865173,-1463.48913043479,99.2039130434783,459.717745951566,-523.975125145552,-533.663043478258
2004-01-01,2004,480.536764261728,266.863371357232,321.700430004779,122.164395604396,146.872307692308,498.956355412485,-176.870328000467,-262.084448160539,106.276483516484,466.604403337098,688.665738553232,707.257047300527
2004-04-01,2004.25,491.042389213219,1050.56249514911,1353.25274725275,135.696923076923,180.303846153846,519.464346194984,2050.79907824984,3343.15384615385,106.489450549451,466.804592436942,20.0189099843669,21.2967032966986
2004-07-01,2004.5,494.860570026145,381.818081292568,528.133779264215,140.978260869565,174.914782608696,516.429889879994,-303.445631498926,-538.906354515046,125.342608695652,483.105085753393,1630.04933164507,1885.31581462016
2004-10-01,2004.75,475.771491858704,-1908.90781674413,-2449.88043478261,116.479456521739,147.811304347826,499.593648967477,-1683.62409125173,-2710.34782608695,91.6817391304348,451.832322235932,-3127.2763517461,-3366.08695652173
2005-01-01,2005,460.013977689158,-1575.75141695453,-1698.12342995169,99.4982222222222,107.408111111111,467.663570167291,-3193.0078800186,-4040.31932367151,89.8197777777778,449.780519357256,-205.180287867535,-186.196135265706
2005-04-01,2005.25,449.164209618595,-1084.97680705635,-1023.03101343101,89.2679120879121,101.030769230769,461.542511629534,-612.105853775745,-637.73418803418,77.9052747252748,435.5493662077,-1423.11531495563,-1191.4503052503
2005-07-01,2005.5,485.782272825685,3661.80632070902,3947.56748686096,128.743586956522,170.860108695652,514.08451438912,5254.20027595863,6982.9339464883,96.5733695652174,457.030302583378,2148.09363756777,1866.80948399426
2005-10-01,2005.75,448.130127761485,-3765.21450642006,-4039.40217391304,88.3495652173913,110.524239130435,470.523485554869,-4356.10288342513,-6033.58695652175,71.1584782608696,426.490947781447,-3053.93548019301,-2541.48913043478
2006-01-01,2006,454.281121383299,615.099362181428,560.499033816427,93.9545555555556,99.2784444444445,459.79284724058,-1073.06383142887,-1124.57946859903,88.6726666666667,448.495168699707,2200.42209182593,1751.41884057971
2006-04-01,2006.25,452.102024564653,-217.909681864535,-202.521489621491,91.9293406593407,95.8120879120879,456.238885564001,-355.396167657898,-346.635653235657,86.7275824175824,446.277196949617,-221.797175008993,-194.508424908429
2006-07-01,2006.5,489.079443605325,3697.74190406718,4112.98984710941,133.059239130435,141.352826086957,495.125907748028,3888.7022184027,4554.07381748686,128.969347826087,485.957476237579,3968.0279287962,4224.17654085045
2006-10-01,2006.75,457.936061831384,-3114.33817739416,-3560.71739130434,97.4520652173913,88.1004347826087,447.847746803335,-4727.81609446934,-5325.23913043478,102.689347826087,463.170839029011,-2278.66372085674,-2628
2007-01-01,2007,453.036521885304,-489.953994607964,-465.962077294682,92.7924444444445,89.5182222222223,449.444220480539,159.647367720396,141.778743961355,92.7483333333333,452.988973187416,-1018.18658415953,-994.101449275361
2007-04-01,2007.25,448.572684421457,-446.383746384743,-405.101587301591,88.7414285714286,98.5036263736264,459.009336347625,956.511586708683,898.540415140415,79.6749450549451,437.795517068842,-1519.34561185745,-1307.33882783883
2007-07-01,2007.5,457.109508102202,853.68236807459,790.846273291932,96.6498913043479,106.69347826087,466.996003423601,798.666707597562,818.985188724312,90.5677173913044,450.609782936753,1281.42658679119,1089.27723363593
2007-10-01,2007.75,455.356105225486,-175.340287671634,-167.989130434785,94.97,87.2157608695652,446.838505849975,-2015.74975736258,-1947.77173913043,98.8796739130435,459.390369589896,878.058665314273,831.195652173912
