Date_quarter,Date,sp500,vix,cpi,pop16,hours,priv_emp,wti,gs2,nfci,epu,gdp,inv,unrate,GPRD,GPRD_ACT,GPRD_THREAT,t10Y2Y,t10Y3M,payems
2010.75,2010-10-01,1204.58562088013,19.3184375,219.699,238711.333333333,87.587,108450,85.0266666666667,0.483333333333333,-0.451439285714286,160.453451337148,16960.864,2383.297,9.5,86.250652173913,83.1945652173913,87.8970652173913,2.39129032258065,2.73887096774194,130733.333333333
2011,2011-01-01,1302.52902713899,18.6148387096774,222.043666666667,238851.666666667,87.739,108836.666666667,93.98,0.693333333333333,-0.57866,123.298974597867,16920.632,2338.901,9.03333333333333,101.696222222222,106.824222222222,98.0851111111111,2.76370967741936,3.33064516129032,131058.333333333
2011.25,2011-04-01,1318.33285861545,17.482380952381,224.568333333333,239316,88.621,109585,102.553333333333,0.566666666666667,-0.574375384615385,116.144548905311,17035.114,2434.538,9.06666666666667,93.350989010989,109.823186813187,80.9878021978022,2.63984126984127,3.15619047619048,131744
2011.5,2011-07-01,1225.26844215393,30.58359375,226.032666666667,239871,88.85,110137.666666667,89.71,0.283333333333333,-0.260807857142857,235.083995782636,17031.313,2445.296,9,82.6014130434783,101.652934782609,64.6970652173913,2.135,2.38921875,132154
2011.75,2011-10-01,1225.65126836868,29.9395238095238,227.047333333333,240431.333333333,89.687,110736,94.0633333333333,0.263333333333333,-0.0995292307692308,154.880807358511,17222.583,2633.829,8.63333333333333,81.0544565217391,79.8294565217391,81.7432608695652,1.78311475409836,2.03196721311475,132710.333333333
2012,2012-01-01,1348.78371503276,18.2040322580645,228.326,242436,90.354,111555,102.893333333333,0.286666666666667,-0.372805384615385,124.200522060685,17367.01,2692.179,8.26666666666667,85.6979120879121,75.2226373626374,93.547032967033,1.75048387096774,1.96935483870968,133500.333333333
2012.25,2012-04-01,1349.6785656157,20.0357142857143,228.808,242968.333333333,90.471,111999.333333333,93.48,0.29,-0.323471538461539,143.436833728374,17444.525,2752.614,8.2,84.4713186813187,79.6132967032967,84.9728571428572,1.53625,1.7375,133923.333333333
2012.5,2012-07-01,1400.9457155258,16.1926984126984,229.841,243564,90.992,112419.333333333,92.27,0.26,-0.429832307692308,168.622009674865,17469.65,2759.86,8.03333333333333,75.0821739130435,77.5875,72.1335869565218,1.38349206349206,1.53968253968254,134337.333333333
2012.75,2012-10-01,1418.13903021043,16.7529032258065,231.369333333333,244169,91.52,112964.666666667,88.16,0.27,-0.566481538461539,195.648337721072,17489.852,2736.423,7.8,78.8778260869565,86.5310869565218,70.8534782608696,1.43950819672131,1.61737704918033,134855.666666667
2013,2013-01-01,1513.97999674479,13.527,232.299333333333,244828.666666667,92.128,113623.666666667,94.3533333333333,0.266666666666667,-0.654136923076923,158.012439090102,17662.4,2845.38,7.73333333333333,82.627,89.1872222222223,80.7274444444445,1.68816666666667,1.86466666666667,135497
2013.25,2013-04-01,1609.49125099182,14.83703125,232.045,245363.333333333,92.504,114224.666666667,94.2233333333333,0.27,-0.692166923076923,123.698168076862,17709.671,2882.489,7.53333333333333,86.5682417582418,88.3335164835165,84.7618681318681,1.71609375,1.9346875,136082.333333333
2013.5,2013-07-01,1674.94359207153,14.2796875,233.3,245961,92.876,114792.333333333,105.823333333333,0.366666666666667,-0.669318461538462,126.69520157048,17860.45,2998.991,7.23333333333333,87.8919565217391,92.3080434782609,83.8716304347826,2.340625,2.674375,136619.333333333
2013.75,2013-10-01,1768.66734695435,14.2328125,234.162666666667,246564.333333333,93.138,115412.333333333,97.3433333333333,0.326666666666667,-0.755342307692308,143.436405946159,18016.147,3027.805,6.93333333333333,73.4847826086957,67.2119565217392,75.0119565217391,2.41693548387097,2.68403225806452,137243.333333333
2014,2014-01-01,1834.87114778112,14.8288524590164,235.621,247086,93.496,115928.666666667,98.7466666666667,0.373333333333333,-0.780061538461539,100.697719692356,17953.974,2998.148,6.66666666666667,90.1143333333333,74.8581111111111,98.4903333333333,2.39065573770492,2.71606557377049,137752.666666667
2014.25,2014-04-01,1900.37269616506,12.738253968254,236.872333333333,247625,94.487,116692.666666667,103.346666666667,0.42,-0.786600769230769,94.9923137722185,18185.911,3121.321,6.2,91.29,80.8517582417582,100.159450549451,2.20142857142857,2.58793650793651,138552.666666667
2014.5,2014-07-01,1975.90812110901,13.07265625,237.478333333333,248232.666666667,95.241,117417.333333333,97.78,0.516666666666667,-0.732152307692308,76.1999751075168,18406.941,3193.152,6.06666666666667,133.073586956522,114.784673913043,152.870434782609,1.98453125,2.473125,139301.666666667
2014.75,2014-10-01,2009.34437561035,16.07234375,236.888333333333,248842.666666667,96.203,118151.666666667,73.16,0.54,-0.639479230769231,97.9786179566923,18500.031,3203.351,5.7,83.4544565217392,82.1757608695653,83.4666304347826,1.73935483870968,2.25338709677419,140083.666666667
2015,2015-01-01,2063.68983534516,16.5647540983607,235.355,249900.666666667,96.688,118803.333333333,48.54,0.603333333333333,-0.527036153846154,101.37755399129,18666.621,3314.895,5.53333333333333,107.962777777778,112.708555555556,105.539111111111,1.36426229508197,1.94426229508197,140772.666666667
2015.25,2015-04-01,2101.82905505953,13.7401587301587,236.96,250461.333333333,96.953,119470.333333333,57.8466666666667,0.613333333333333,-0.547613846153846,107.247980045152,18782.243,3328.049,5.43333333333333,86.2869230769231,83.9434065934066,87.6615384615385,1.55171875,2.14609375,141481
2015.5,2015-07-01,2027.20000267029,19.30734375,237.855,251099,97.076,120080.333333333,46.4166666666667,0.693333333333333,-0.464936153846154,142.39036673023,18857.418,3335.27,5.1,94.4035869565217,80.7571739130435,104.240869565217,1.530625,2.18046875,142130.333333333
2015.75,2015-10-01,2052.31187820435,17.03328125,237.837,251741.333333333,97.782,120743.333333333,41.95,0.833333333333333,-0.435299230769231,100.74969367642,18892.206,3315.334,5.03333333333333,124.15152173913,166.956630434783,98.4044565217392,1.35225806451613,2.065,142821.333333333
