C_Date_quarter;C_epu;C_gs2;C_wti;C_vix;C_cpi;C_inv;C_privemp;C_gdp;C_pop16;C_sp500;C_NFCI;C_GPRD;C_GPRD_THREAT;C_GPRD_ACT;Date_quarter;sp500;vix;cpi;pop16;priv_emp;wti;gs2;nfci;epu;gdp;inv;GPRD;GPRD_ACT;GPRD_THREAT
2018 - Q3;111,62736;2,67;69,72;11,48;252,197;212,152;3327,9;18679,6;258066;2850,99;-0,58624;99,3;120,9;68;2018,5;2849,601431;15,3375;251,6863333;258066,3333;126759,6667;69,75666667;2,673333333;-0,580477692;137,3838799;20276,154;3722,248;89,796;65,16244444;109,5778889
2018 - Q4;136,00774;2,8;58,903;22,64;252,052;212,593;3342,6;18721,3;258703;2692;-0,51966;87,7;108,8;58,3;2018,75;2698,926828;12,8568254;252,711;258703,3333;127163;59,07666667;2,8;-0,501143077;175,8779145;20304,874;3724,752;115,8885714;71,03483516;149,4657143
2019 - Q1;149,39335;2,48;54,85;16,84;252,897;213,201;3372,8;18833,2;258389;2722,08;-0,55275;88,9;110,5;60;2019;2721,004419;21,05365079;253,3856667;258389,3333;127605,6667;54,82666667;2,483333333;-0,548227692;196,1356418;20431,641;3755,53;99,12641304;67,71945652;121,2080435
2019 - Q2;123,79741;2,12;59,787;15,8;255,928;213,459;3423,2;18982,5;258864;2882,89;-0,60595;97,4;124,4;58,5;2019,25;2882,327765;16,47;255,2473333;258863,6667;128089,3333;59,78333333;2,12;-0,596176923;159,5119666;20602,275;3790,049;86,40282609;58,64706522;106,3752174
2019 - Q3;158,26598;1,69;56,407;16,59;256,629;213,944;3449,3;19112,7;259432;2958,59;-0,55702;95,8;120,8;61,8;2019,5;2957,836407;15,18301587;256,0893333;259431,6667;128540,6667;56,37;1,686666667;-0,549379231;225,6363631;20843,322;3819,94;88,24055556;60,20644444;109,461
2019 - Q4;131,23539;1,59;56,913;14,27;257,176;214,665;3439,9;19202,3;260015;3086,44;-0,54810;81,7;95,3;62,1;2019,75;3082,755611;15,96015625;257,888;260015,3333;128939,3333;56,95666667;1,59;-0,55564;173,4988864;20985,448;3770,431;95,90175824;57,62186813;122,0627473
2020 - Q1;191,68466;1,1;45,84;32,52;258,255;212,503;3419,6;18952;259629;3069,3;-0,37449;98,3;124,4;67;2020;3055,869184;13,98578125;258,8176667;259629,3333;128917,6667;45,75666667;1,1;-0,349743846;268,9085626;20693,238;3673,842;97,26;63,77434783;121,7061957
2020 - Q2;283,44534;0,19;27,827;34,89;256,86;187,572;3123;17258,2;260049;2928,75;-0,05580;69,4;83,5;46,1;2020,25;2931,685555;31,22451613;256,292;260049;112140,3333;27,80666667;0,193333333;-0,079506923;401,7160842;19056,617;3162,976;80,4823913;60,87434783;94,54565217
2020 - Q3;249,48272;0,14;40,887;24,39;259,766;200,428;3318,5;18560,8;260558;3321,62;-0,45737;70,6;93,2;37,9;2020,5;3319,834072;34,49365079;259,2216667;260557,6667;118800,3333;40,89333333;0,14;-0,483350769;314,6582143;20548,793;3747,725;99,97626374;68,63252747;126,4795604
2020 - Q4;247,33562;0,15;42,507;25,96;260,364;204,905;3456,6;18767,8;261080;3554,33;-0,53695;69,9;87,7;45,5;2020,75;3554,501091;25,80890625;261,0916667;261080;120858;42,45333333;0,153333333;-0,546119231;319,9976206;20771,691;3863,835;70,28175824;46,99626374;84,70692308
