application,information_set,shock,alpha,peak_median,peak_horizon,lower68,upper68
dralacbn,uncertainty,one_sd,0.99,0.000222368813262451,1,-4.28039207183523e-06,0.000449996132621541
dralacbn,uncertainty,one_sd,0.999,0.000264974286277342,1,-5.18809794229966e-06,0.000528147333775429
dralacbn,uncertainty,2001Q3,0.99,0.000884014047852356,1,-1.63120247266352e-05,0.00187797218361261
dralacbn,uncertainty,2001Q3,0.999,0.00106581998945504,1,-1.97695151332046e-05,0.00225756978225049
