application,information_set,shock,alpha,peak_median,peak_horizon,lower68,upper68
dralacbn,real_side_lighter,one_sd,0.99,0.000312484146361459,2,0.00010794882244206,0.000509981133935354
dralacbn,real_side_lighter,one_sd,0.999,0.000355687551667618,12,-0.000463968248446909,0.00121263974717111
dralacbn,real_side_lighter,2001Q3,0.99,0.00149327441543416,2,0.000488076168989729,0.0025758163630703
dralacbn,real_side_lighter,2001Q3,0.999,0.00172594217657138,2,0.000566714427998407,0.00296919341072986
