application,information_set,shock,alpha,peak_median,peak_horizon,lower68,upper68
dralacbn,financial,one_sd,0.99,-0.000101272517645388,8,-0.000905421573847517,0.000635218060136679
dralacbn,financial,one_sd,0.999,-0.000129535881438197,8,-0.00118919034266252,0.000794281837338012
dralacbn,financial,2001Q3,0.99,-0.000392081525233713,8,-0.00323188671549725,0.00268719920545378
dralacbn,financial,2001Q3,0.999,-0.000503141614395016,8,-0.00417398296053942,0.00341896990990005
