horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-2.55715350175476e-05,2.1021305255052e-05,0.000100179050588629,0.000190609278896038,0.000258663693367687,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
1,9.36036564359363e-05,0.000172661584858704,0.000302574089044773,0.00045423954969327,0.000567973416888623,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
2,2.75848778434056e-05,0.000136528746923415,0.000305918839935427,0.000498802426286954,0.000641717480249986,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
3,-1.89344250025599e-05,0.00011743016820902,0.000334096406807525,0.000580788705110806,0.000747970364562987,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
4,-0.000125386056742781,3.17011555878302e-05,0.0002762498779387,0.000560475704664605,0.00076230510732878,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
5,-0.000248554217651746,-7.16235208349075e-05,0.000209916955413298,0.0005248092506934,0.000765015528037017,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
6,-0.000292403306170316,-9.81295534086859e-05,0.000202354706550997,0.000550677419944754,0.00082632126130625,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
7,-0.000326225002854282,-0.000119995103660069,0.000198360803070047,0.000577286053240982,0.000880267955981484,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
8,-0.000371262814437465,-0.000153675110709938,0.000182295257891474,0.000584338150565971,0.000903906133155738,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
9,-0.00041570066831455,-0.000180981490393517,0.000162398418039318,0.000582733695232079,0.000931904676407001,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
10,-0.000449317922445696,-0.000206329514319731,0.000142442194064489,0.000575352653322077,0.00094550115450279,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
11,-0.000487910707203345,-0.000229088411361734,0.000125575761066725,0.000566063707951723,0.000949160948274128,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
12,-0.000510962674924654,-0.000247866387628156,0.00011064715934416,0.000553176207683807,0.0009502098639055,0.032044375,0.0505897868442961,real_side,Real-side,one_sd
