application,information_set,shock,alpha,peak_median,peak_horizon,lower68,upper68
dralacbn,monetary,one_sd,0.99,0.000595867932900313,1,0.000251808995691882,0.000960675269142264
dralacbn,monetary,one_sd,0.999,0.000728644143010946,1,0.000313937507665633,0.00115484607751843
dralacbn,monetary,2001Q3,0.99,0.0024354915422058,1,0.000976569381674993,0.00414423231150436
dralacbn,monetary,2001Q3,0.999,0.00304280501077192,1,0.00122437224830595,0.00513451289956587
