horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-3.46022934645988e-05,0,6.18951452092172e-05,0.000154691062406688,0.000212039318454764,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
1,8.79465197242553e-06,8.60592163380318e-05,0.000210467087086679,0.000349157798711657,0.000437437082122364,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
2,-2.16132968927788e-05,6.79819217972332e-05,0.00020597606844312,0.00035252082107193,0.000451938263252865,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
3,-9.68072035790857e-05,9.58402016214723e-06,0.000170089431081176,0.000342260705795281,0.000461368141354083,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
4,-0.000162197963107548,-3.2932969109906e-05,0.00015789454523679,0.000365311257801892,0.00050217216008443,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
5,-0.000245329596586217,-9.76608509222645e-05,0.000124721929475242,0.000367106037087601,0.000540883904374816,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
6,-0.000267170712449157,-0.000107290344329468,0.00013512001356798,0.000409757155272389,0.000612212169986572,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
7,-0.000298362175802196,-0.000121486929749042,0.000141174348722342,0.000443391669582686,0.000683368365544443,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
8,-0.000320213160785671,-0.000132907997589375,0.000145663862123046,0.000469843820953904,0.000737374453110378,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
9,-0.00033924144224192,-0.00014356242629339,0.000147048222282692,0.000491662839424249,0.000776476966060373,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
10,-0.000355179134841221,-0.000152568793944179,0.000145389763059315,0.000508444594679966,0.000804744066937759,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
11,-0.000368215493611583,-0.000161972521431846,0.000144953065696359,0.000517278620229623,0.000831199341957376,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
12,-0.000378578339459185,-0.00016997834477026,0.000142179266999862,0.000520936362980245,0.000847712028443677,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),one_sd
